well_id,hour,q_it,e_it
W01,0,11.873,36.582
W01,1,11.831,36.582
W01,2,12.47,38.913
W01,3,12.676,39.743
W01,4,12.759,39.252
W01,5,13.147,40.399
W01,6,12.699,40.045
W01,7,13.005,39.672
W01,8,12.575,38.785
W01,9,12.843,38.889
W01,10,12.556,38.098
W01,11,11.897,37.524
W01,12,11.568,35.938
W01,13,11.763,35.286
W01,14,11.093,33.772
W01,15,11.193,32.673
W01,16,10.49,33.281
W01,17,10.905,31.777
W01,18,10.721,31.676
W01,19,10.914,31.267
W01,20,11.099,32.81
W01,21,10.945,33.809
W01,22,11.468,33.858
W01,23,11.313,35.5
W02,0,13.321,35.467
W02,1,13.233,37.607
W02,2,13.808,39.017
W02,3,14.06,39.778
W02,4,14.135,40.635
W02,5,14.325,39.318
W02,6,14.485,39.185
W02,7,13.771,40.195
W02,8,13.956,39.632
W02,9,13.404,39.475
W02,10,13.599,36.758
W02,11,12.96,37.081
W02,12,12.588,36.374
W02,13,12.052,35.276
W02,14,11.999,33.803
W02,15,11.579,33.636
W02,16,11.409,32.803
W02,17,11.473,32.651
W02,18,11.699,31.93
W02,19,12.004,31.305
W02,20,11.896,33.168
W02,21,12.489,34.174
W02,22,12.783,34.442
W02,23,12.83,36.011
W03,0,14.431,40.266
W03,1,15.108,41.983
W03,2,15.495,41.456
W03,3,15.506,42.819
W03,4,15.514,43.537
W03,5,15.384,42.667
W03,6,15.798,42.84
W03,7,15.251,43.138
W03,8,15.246,42.932
W03,9,14.76,42.13
W03,10,14.803,40.099
W03,11,14.503,39.563
W03,12,13.86,38.026
W03,13,13.591,36.209
W03,14,13.022,35.914
W03,15,13.426,34.576
W03,16,13.012,35.457
W03,17,13.291,35.257
W03,18,12.806,33.915
W03,19,13.584,35.557
W03,20,13.424,35.939
W03,21,14.002,37.433
W03,22,13.84,37.106
W03,23,14.311,38.895
W04,0,15.884,44.579
W04,1,16.376,45.935
W04,2,16.097,47.267
W04,3,16.166,47.347
W04,4,16.243,46.672
W04,5,16.687,48.168
W04,6,16.586,47.983
W04,7,16.345,46.96
W04,8,15.817,45.957
W04,9,15.504,44.061
W04,10,14.86,44.266
W04,11,14.938,43.611
W04,12,14.26,42.169
W04,13,13.927,40.685
W04,14,14.09,39.521
W04,15,13.447,39.248
W04,16,13.874,38.409
W04,17,13.528,38.918
W04,18,13.79,39.139
W04,19,14.174,39.528
W04,20,14.231,39.488
W04,21,15.094,41.655
W04,22,15.456,42.607
W04,23,15.553,42.726
W05,0,17.724,46.4
W05,1,17.864,47.05
W05,2,18.029,48.195
W05,3,18.162,48.681
W05,4,17.877,50.246
W05,5,17.625,50.189
W05,6,17.303,49.357
W05,7,17.075,48.674
W05,8,16.786,47.798
W05,9,16.636,47.082
W05,10,16.462,45.488
W05,11,15.99,44.67
W05,12,15.706,43.738
W05,13,15.524,42.822
W05,14,14.961,40.326
W05,15,15.449,40.229
W05,16,15.22,40.447
W05,17,15.065,40.392
W05,18,15.821,41.481
W05,19,15.526,41.721
W05,20,16.004,42.122
W05,21,16.64,44.053
W05,22,16.759,44.528
W05,23,17.238,45.095
W06,0,19.271,48.259
W06,1,19.47,49.22
W06,2,19.449,51.511
W06,3,19.406,50.286
W06,4,19.27,50.903
W06,5,18.674,51.974
W06,6,18.914,51.014
W06,7,18.39,49.289
W06,8,17.784,48.414
W06,9,17.443,47.163
W06,10,17.099,45.411
W06,11,16.992,45.514
W06,12,16.506,43.387
W06,13,16.477,42.934
W06,14,16.573,42.674
W06,15,16.278,42.239
W06,16,16.247,40.615
W06,17,16.873,41.212
W06,18,16.763,41.523
W06,19,17.021,43.729
W06,20,17.349,44.153
W06,21,18.081,44.904
W06,22,18.516,46.125
W06,23,18.373,47.093
W07,0,19.711,50.749
W07,1,19.849,50.633
W07,2,20.366,52.874
